name,color,hx,hy,hz,mag,diameter,mass,orbit_distance,orbit_period,lower_temp,upper_temp
The sun,#ffff00,0,0,0,-26.7,9.31E-03,1.99E+30,0,0,5500,5500
Mercury,#ff0000,24012851813,-62042560358,-7258593405,1.5,3.26E-05,3.30E+23,0.3870992731,88,-173,427
Venus,#ffffff,67953022631,84008479466,-2790374283,-3.8,8.09E-05,4.87E+24,0.7233356631,225,462,462
Earth,#0000ff,119073277892,-93725983152,0,0,8.53E-05,5.97E+24,1.000002616,365.24,-88,58
Mars,#ff0000,-166572008059,182266260835,7909448861,1.76,4.54E-05,6.42E+23,1.523710351,687,-153,20
Jupiter,#ffffff,-720870550695,-379639677602,17720914970,-1.58,9.56E-04,1.90E+27,5.202887029,4333,-148,-148
Saturn,#ffffff,-97283540196,-1504583322206,30035572329,0.21,8.06E-04,5.68E+26,9.536675992,10756,-178,-178
Uranus,#ffffff,2688100337587,1286370383498,-30062365308,5.8,3.42E-04,8.68E+25,19.18916474,30687,-216,-216
Neptune,#ffffff,4275924612424,-1328975916913,-70702287420,7.79,3.31E-04,1.02E+26,30.06992292,60190,-214,-214
The moon,#cccccc,119344992504,-93472040767,-33734319.84,-10.47,2.32E-05,7.35E+22,0.00256955529,27.3,-233,123
